"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-01","12.3","23.9","4.4"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-02","9.2","15.0","2.8"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-03","8.9","12.8","6.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-04","5.1","12.2","-0.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-05","4.3","10.0","-1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-06","4.5","9.4","0.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-07","7.4","18.9","0.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-08","8.3","17.2","3.9"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-09","8.7","15.0","5.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-10","9.3","13.3","5.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-11","8.0","15.0","2.2"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-12","8.9","15.6","2.8"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-13","8.4","16.7","2.8"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-14","8.2","17.2","2.2"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-15","9.2","15.0","3.3"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-16","12.1","20.0","6.7"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-17","12.7","23.3","4.4"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-18","12.6","21.7","6.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-19","7.7","11.7","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-20","5.2","11.1","0.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-21","6.7","12.8","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-22","6.7","13.9","0.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-23","9.9","17.8","3.3"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-24","9.7","20.6","1.7"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-25","11.1","24.4","2.2"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-26","9.3","22.2","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-27","8.6","20.6","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-28","7.8","18.3","0.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-29","8.1","13.3","2.2"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-30","6.4","14.4","0.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-01-31","5.9","12.2","0.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-01","6.7","14.4","-0.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-02","11.8","16.7","7.8"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-03","7.0","11.7","2.8"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-04","5.5","12.2","-0.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-05","7.1","13.9","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-06","7.9","10.0","5.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-07","8.0","10.6","5.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-08","7.8","12.2","4.4"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-09","6.8","14.4","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-10","7.7","16.1","0.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-11","7.9","16.1","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-12","9.7","15.0","5.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-13","10.2","18.3","2.8"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-14","9.5","12.8","5.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-15","5.8","12.2","0.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-16","5.7","12.8","-1.7"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-17","6.9","11.7","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-18","6.8","14.4","0.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-19","5.9","11.7","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-20","4.7","10.6","-1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-21","6.9","13.3","-0.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-22","10.9","15.6","8.3"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-23","9.1","11.7","4.4"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-24","5.6","11.1","0.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-25","4.7","11.7","-1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-26","6.1","13.9","0.0"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-27","7.0","15.0","-0.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-02-28","9.4","16.7","2.8"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-03-01","9.9","19.4","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-03-02","10.6","19.4","2.8"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-03-03","8.7","15.6","1.1"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-03-04","8.3","16.1","0.6"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-03-05","8.6","13.9","2.8"
"USR0000CACT","ACTON CALIFORNIA, CA US","1998-03-06","7.0","11.1","3.9"
